ordre	id_persona	forma	clip	small	base	greedy	categoria	text_small	text_base	text_greedy
340	pa-064	clar	clips/pa-064__clar__109.97.wav	sí	sí	no	B-dos-models	I clar, vostè, amb 97 anys, té molts records,	I clar, vostè en 97 anys té molts records, molts anys.	i que no es pot fer res.
341	pa-065	clar	clips/pa-065__clar__221.29.wav	sí	sí	sí	A-tres-models	És a dir, jo tinc clar que l'Evangeli és on tinc el macar.	Jo tinc clar que l'Evangeli és un tinc el macà.	Jo tinc clar que l'Evangeli és on tinc el macar.
342	pa-001	vull dir	clips/pa-001__vull-dir__621.37.wav	no	no	no	D-cap-model	Els consuls van col·laborar també, però tampoc ho han fet.	I no ho sé, però no s'han de dir que t'has de dir que no hi hagi res.	i que té reunions.
343	pa-002	vull dir	clips/pa-002__vull-dir__172.25.wav	no	sí	no	C-un-model	no sé si és un tutorial tampoc autoritària.	i no sóc un detallor i altem poc, tu, i tària, vull dir.	no sé si un dit al tutorial tampoc autoritària.
344	pa-004	vull dir	clips/pa-004__vull-dir__143.45.wav	sí	sí	no	B-dos-models	d'en Valirà, vull dir que eren llocs molt elevats, i també es podia conregar.	d'en Valida, vull dir que era doncs llocs molt... molt elevats i també es podia conreure.	i també es podia conregar.
345	pa-014	vull dir	clips/pa-014__vull-dir__19.65.wav	sí	sí	sí	A-tres-models	el passat.  Així es començo jo sempre,  vull dir, com a voluntari divulgador del patrimoni  que tenim al nostre país.	El passat.  Aixís comenció sempre, vull dir com voluntari divulgador del patrimoni que tenim  el nostre país.	el passat.  Així es començo jo sempre,  vull dir, com a voluntari divulgador del patrimoni  que tenim al nostre país.
346	pa-016	vull dir	clips/pa-016__vull-dir__322.53.wav	sí	no	sí	B-dos-models	d'esqueles que van fer, les van passar, vull dir, que va ser així.	de financers de les que van fer les van passar que va ser així però la nostra	i els mesos de finances, algunes de les que van fer les van passar, vull dir, que va ser així.
347	pa-017	vull dir	clips/pa-017__vull-dir__272.25.wav	sí	sí	sí	A-tres-models	Vull dir, nosaltres entraiem en una proporcional nacional.	Vull dir que nosaltres ja entraiem a una proporcional nacional.	Vull dir, nosaltres entraiem amb una proporció nacional.
348	pa-020	vull dir	clips/pa-020__vull-dir__165.45.wav	no	no	no	D-cap-model	Us agrua una mica després, companys que el conso o el segon conso,  sobretot...	Però no és una cosa que no és una cosa que no és una cosa que no.	i posar-ho a...  I a vegades, companys que el consul o el segon consul,  sobretot...
349	pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	sí	sí	sí	A-tres-models	i nosaltres, malgrat que no vull dir que no volguéssim de cap manera.	I nosaltres, malgrat que no vull dir de que no vulguessim de cap manera, no?	i nosaltres, malgrat que no vull dir que no volguéssim de cap manera.
350	pa-022	vull dir	clips/pa-022__vull-dir__308.17.wav	sí	no	no	C-un-model	i també vull dir que van treballar les lleis que està en...	Evidentament, viatament, n'hi ha que van treballar les lleis que estan.	i també hi acaben de treballar les lleis que estan...
351	pa-023	vull dir	clips/pa-023__vull-dir__22.05.wav	sí	no	sí	B-dos-models	Vull dir, els que fèiem part de la Junta Constitucional,	que fa en part de la Junta Constitucional.	i vull dir els que fan part de la Junta Constitucional.
352	pa-025	vull dir	clips/pa-025__vull-dir__643.73.wav	no	no	no	D-cap-model	La realitat podria discutir  si vam fer una cosa o una altra, però tenim les actes.	I si vam fer una cosa d'una altra, però tenim les xarxes.	i que no hi hagi una altra.
353	pa-026	vull dir	clips/pa-026__vull-dir__311.77.wav	sí	no	sí	B-dos-models	que està adonant, vull dir, que vol ser un bon cap de govern.	Tadu-ne, per si un bon cap de còmode.	que està adonant, vull dir, que vol ser un bon cap de govern.
354	pa-027	vull dir	clips/pa-027__vull-dir__254.25.wav	no	no	no	D-cap-model	però jo crec que el mèrit d'aquella comissió	Per tant, si no hi hauràs d'alguna de les eleccions,  però no hi hauràs d'alguna de les eleccions d'alguna de les eleccions.	però jo crec que el mèrit d'aquella comissió és que tots van...
355	pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	sí	sí	no	B-dos-models	Bé, vull dir també, perquè cal recordar-ho.	Bé, vull dir també perquè cal recordar-ho.	i que no hi hagi una altra part de l'independentisme.
356	pa-031	vull dir	clips/pa-031__vull-dir__207.77.wav	no	no	no	D-cap-model	No ho sé, és que no és el meu cas.  No ho sé, és el meu cas.	No he deixat això, sí que m'han donat compte, però...	i que no hi hagi això.
357	pa-032	vull dir	clips/pa-032__vull-dir__389.29.wav	sí	no	no	C-un-model	i amb l'altre igual.  Sabeu què vull dir?  No és allò que m'he tingut un de dir ara aquest?	No és el que n'he tingut un dia a aquest moment.	i amb l'altre igual.  Saps que a Vili no és allò que m'he tingut un de dir,  ara aquest no.
358	pa-033	vull dir	clips/pa-033__vull-dir__56.25.wav	sí	no	sí	B-dos-models	perquè, clar, vull dir, tothom veia les exigències que tenien al sol.	"que el clar va dir ""tot amb ell i em va dir les exigències que tenia en el seu""."	perquè, clar, vull dir, tot el que veia és...  Dels exigències que tenien al centre.
359	pa-034	vull dir	clips/pa-034__vull-dir__58.29.wav	no	sí	no	C-un-model	s'ha perdut, està bebuda de goma-goma.	S'ho és perdut, està bé, vull dir de goma goma, no em gent.	i els Mossos perdut està bebuda de goma-goma.
360	pa-036	vull dir	clips/pa-036__vull-dir__632.25.wav	sí	no	no	C-un-model	Vull dir que era el nou reglament, el nou sistema.  Veius les dues coses, penso que la Constitució...	"""No ho sé, no ho sé, ho sé""."	i el 2001, el nou reglament, el nou sistema,  veïn les dues coses.  Pensa que la Constitució...
361	pa-037	vull dir	clips/pa-037__vull-dir__414.01.wav	sí	sí	sí	A-tres-models	Vull dir que una setefesó personal, sí que aquí mateix,  com he dit abans, perquè sabia que hi havia tensions entre els copríncepts.	Vull dir que unes setfes opes són altres, com a dintre l'ans,  perquè tenia sabia que hi havia tensions entre els coprinsets.	Vull dir que una satisfacció personal, com he dit abans,  perquè sabia que hi havia tensions entre els coprínceptes.
362	pa-038	vull dir	clips/pa-038__vull-dir__1576.57.wav	sí	sí	sí	A-tres-models	Ja et dic que els agents exteriors siguin ja no vull dir quins, però...	Ja et dic els agents exteriors, sigui ja no vull dir quins, però...	Ja et dic que els agents exteriors siguin... ja no vull dir quins, però...
363	pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	sí	sí	sí	A-tres-models	un element no vull dir potser de discussió però potser no s'acaba d'entendre bé, molt poc s'endurà.	No vull dir potser de discursió,  però potser no s'aclava d'entendre bé.	Un element, no vull dir de discussió,  però potser no s'acaba d'entendre bé.  Molt poc s'endurà.
364	pa-045	vull dir	clips/pa-045__vull-dir__779.57.wav	no	no	no	D-cap-model	S'estan posant el llibertat de l'estat espanyol.	No ho sé.	i que no hi hagi una altra manera de fer-ho.  I això és un problema que no hi hagi.
365	pa-048	vull dir	clips/pa-048__vull-dir__993.69.wav	sí	sí	sí	A-tres-models	Vull dir que amb això, vull dir que vostè, a través...	A més jo vull dir que vostè a través de la llei.	i que no hi hagi ningú que sigui igual.  Vull dir, amb això, vull dir que vostè, a través...
366	pa-049	vull dir	clips/pa-049__vull-dir__208.09.wav	sí	no	sí	B-dos-models	Va fer una carta al president dels Estats Units  aprofitant que la família de la Moàbia, vull dir, aquella reina...	Va fer una carta al president dels EEUU,  aprofitant que la família, la Muàvia, voldia que la reina...	Va fer una carta al president dels Estats Units  aprofitant que la família de la Moàbia, vull dir,  que l'arenya...
367	pa-055	vull dir	clips/pa-055__vull-dir__311.73.wav	sí	no	sí	B-dos-models	que el que està adonant, vull dir, que vol ser un bon cap de govern.	Tadua, bé, que va sumar un cop de gorgard, no?	que ha estat d'onar, vull dir, que vol ser un bon cap de govern.
368	pa-056	vull dir	clips/pa-056__vull-dir__842.65.wav	sí	sí	sí	A-tres-models	Bé, vull dir també, perquè cal recordar-ho.	Bé, vull dir també perquè cal recordar-ho.	Bé, vull dir també, perquè cal recordar-ho.
369	pa-058	vull dir	clips/pa-058__vull-dir__975.13.wav	sí	sí	sí	A-tres-models	i demitots que gràcies a Déu que vull dir a l'Adri.	de mi tots, de què gràcies a Déu que vull dir a l'adria.	i demitots que gràcies a Déu que vull dir a l'adrin.
370	pa-059	vull dir	clips/pa-059__vull-dir__271.81.wav	sí	sí	sí	A-tres-models	Vull dir, nosaltres entraiem amb una proporcional nacional.	Vull dir que nosaltres entraiem amb una proporcional nacional.	Vull dir, nosaltres entraiem en una proporció nacional.
371	pa-060	vull dir	clips/pa-060__vull-dir__20.65.wav	sí	no	sí	B-dos-models	el consell... vull dir, els que fem part de la Junta Constitucional,	de les eleccions de l'estat i de l'estat de l'estat i de l'estat.	que el consell... vull dir, els que fem part de la Junta Constitucional,  vull dir...
372	pa-061	vull dir	clips/pa-061__vull-dir__193.57.wav	sí	no	sí	B-dos-models	No hi havia res a en Dorre, vull dir, que tot era una gran novetat.	No hi havia res endor.  És que tot era una gran novetat.	No hi havia res a en Dorre.  Vull dir que tot era una gran novetat.
373	pa-062	vull dir	clips/pa-062__vull-dir__316.81.wav	no	no	no	D-cap-model	i el que hem de fer és que no hi hagi gaire malaltia.  I això és el que ha de fer a l'Estatut.  El que és molt important és que el que ha de fer,  és que el que ha de fer és que la gent no ho ha de fer.	Bé, aquesta confitura, si t'ho vols vendre,  m'ho has dit molt bé abans.  Te'ls veus davant passats?  Perquè em recordo que ells era fàcil.	i que no es pot fer res.
374	pa-063	vull dir	clips/pa-063__vull-dir__822.45.wav	sí	no	no	C-un-model	Vull dir, estem alçada de qualsevol país modern.	I ara ho hem d'anar a l'automàtica.  I ara ho hem d'anar a l'automàtica.	i que la gent no ha de ser a l'estat espanyol.
375	pa-065	vull dir	clips/pa-065__vull-dir__1401.05.wav	no	no	no	D-cap-model	i quan hi ha una persona que no té un llibre,  i quan hi ha una persona que no té un llibre,	No és crític, no és un alcançament.	i els crítiques.
376	pa-001	o sigui	clips/pa-001__o-sigui__49.17.wav	no	no	no	D-cap-model	i això va anar evolucionant el que era...	Bé, això van a evolucionar el que era...	i que es va fer a la resta de la gent.
377	pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	sí	no	sí	B-dos-models	d'una canada de vi, un format xà i dues fogaces de pa.  O sigui que hi ha poques bromes.	n'ha de dir un format xar i dues fogaixes de pas, així que hi ha poques bromes.	Un formatxar i dues fogaces de pa.  O sigui que hi ha poques bromes.
378	pa-006	o sigui	clips/pa-006__o-sigui__136.25.wav	sí	no	no	C-un-model	o sigui, rius de la plana.  No els rius que tenim aquí en les altres.  Surti i gata.	Si jo rius d'ava plana, no els rius que tenim per aquí amb els altres, sortig i gata.	i el que ha de ser el que ha de ser.
379	pa-009	o sigui	clips/pa-009__o-sigui__234.25.wav	sí	sí	sí	A-tres-models	però dintre de la mateixa campana, o sigui, a la vora,	Però d'intramar-te'ns campanat, o sigui, a la bona l'estructura normal.	però dintre de la mateixa campana, o sigui, a la vora,  l'estructura no té res.
380	pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	sí	sí	sí	A-tres-models	És a dir, els homes amb barretina, o sigui, amb pantolons de ballut, negres, faixa i barretina vermella, camisa blanca, mitjons blancs i bigatans.	És a dir, els homes amb baratina, o sigui, amb pantolons de barit, nergres, faixa i baratina vermella,  que missa blanca, mitjons blancs, i vigatants.	És a dir, els homes amb barretina, o sigui, amb pantolons de barllut, negres, faixa i barretina vermella, camisa blanca, mitjons blanques i bigatans.
381	pa-015	o sigui	clips/pa-015__o-sigui__104.25.wav	no	no	no	D-cap-model	l'omenta, sigui que ha de desenvolupar unes estratègies.	Siguique, adretes un blupper o més estrategies.	i el carlo aumenta, sigui que ha de desenvolupar unes estratègies.
382	pa-016	o sigui	clips/pa-016__o-sigui__311.25.wav	sí	no	no	C-un-model	O sigui que s'han regulat, però molts anys després.	de vegades encara s'han regulat, però molts anys després.	i a vegades encara s'han regulat, però molts anys després.
383	pa-022	o sigui	clips/pa-022__o-sigui__42.93.wav	sí	sí	sí	A-tres-models	O sigui, al fondo el que es buscaveré tindrà una independència com a país.	No res a fer, bo sigui el fondo que és buscar haver-hi tindre una independència com a país.	No és res a fer, o sigui, el fondo, el que es buscaveré,  tindrà una independència com a país.
384	pa-024	o sigui	clips/pa-024__o-sigui__554.49.wav	no	no	no	D-cap-model	I tots coincidin amb la necessitat de fer un salt des del procés de reforma cap al procés constituent.	i el nostre, i tots coincidinem la necessitat de fer un sal des del procés de reforma cap a procés concituen.	i que no es pot fer el nostre.  I tots coincidin  amb la necessitat de fer un saldes del procés de reforma  cap al procés constituent.
385	pa-025	o sigui	clips/pa-025__o-sigui__1462.85.wav	sí	no	sí	B-dos-models	i t'hi he rebut com l'home de França.  O sigui, aleshores era una mica perillós, amb aquest sentit.	i t'hi he rebut com la meva defrança, i els hores era una mica perillós amb aquest sentit.	i t'hi he rebut com l'home de França.  O sigui, aleshores era una mica perillós, amb aquest sentit.
386	pa-026	o sigui	clips/pa-026__o-sigui__434.17.wav	sí	no	sí	B-dos-models	O sigui, que teníem una vista important.	que teníem una missa d'important.	o sigui, que tenim una vista important.
387	pa-027	o sigui	clips/pa-027__o-sigui__361.61.wav	no	no	no	D-cap-model	I si hem de fer 4 reunions més, fem les ciutadans.	que el que ha fet és que el que ha passat és que el que ha passat és que el que hackei	i el que hem de fer,  que és que el que hem de fer és que el que hem de fer
388	pa-029	o sigui	clips/pa-029__o-sigui__243.13.wav	sí	no	sí	B-dos-models	que no hi veus un cau, o sigui, que no hi veus un desgovern.	que no hi veés un caos i que no hi veés un dels governs.	que no hi hagués un cau, o sigui, que no hi hagués un desgovern.
389	pa-030	o sigui	clips/pa-030__o-sigui__1016.41.wav	sí	no	no	C-un-model	O sigui, algú vol vendre gent, se t'evoca, se t'evoca.	de menys, si jo ho valdent resins, se t'hi volca, se t'hi volca.	o si algú vol vendre gent, s'etivoca.
390	pa-034	o sigui	clips/pa-034__o-sigui__1106.09.wav	no	no	no	D-cap-model	i aconsell perquè, si no, acabarem molt tard.	Consell, perquè si no, acabarem molt tard.	"""Consell, perquè si no acabarem molt tard...""  ""Mmm..."""
391	pa-038	o sigui	clips/pa-038__o-sigui__16.65.wav	sí	no	sí	B-dos-models	O sigui, en Dorre, malgrat ser un dels parlaments,	S'ha intentat posar-hi una manera de posar-hi.	O sigui, en Dorre, malgrat ser un dels parlaments,
392	pa-040	o sigui	clips/pa-040__o-sigui__115.73.wav	no	no	no	D-cap-model	Demanar el bot, demanar ben convençut amb molts arguments.	Demanar bé com vençut amb molts arguments i amb molt...	Demanar el vot, demanar ben convençut amb molts arguments.
393	pa-045	o sigui	clips/pa-045__o-sigui__226.17.wav	sí	sí	sí	A-tres-models	o sigui, què et motiva de la teva professió?	o sigui que una teva profissió.	o sigui, què et motiva de la teva professió?
394	pa-046	o sigui	clips/pa-046__o-sigui__230.61.wav	no	sí	no	C-un-model	és una necessitat moral,  està contents moralment.	Si tu et moral, o sigui, està contents moralment, no?	i que no hi hagi una situació de la qual es pot fer.
395	pa-048	o sigui	clips/pa-048__o-sigui__581.65.wav	sí	sí	sí	A-tres-models	O sigui que les identitats com les cultures	O sigui que les identitats com les comptures se'n posen,	O sigui que les identitats com les cultures...
396	pa-049	o sigui	clips/pa-049__o-sigui__365.21.wav	sí	sí	sí	A-tres-models	I el servei de servei, o sigui, tot té creació de nou serveis.  I, a més, dels serveis que eren necessaris en aquell moment.	No sé si és una idea de ser bé,  o sigui que tot té creació de nou serveix.  Sí, però ja demà és del serveix que eren necessaris en aquell moment.	i de la idea de servei.  O sigui, tot té creació de nous serveis.  I hi ha de més dels serveis que eren necessaris en aquell moment.
397	pa-055	o sigui	clips/pa-055__o-sigui__434.17.wav	sí	no	no	C-un-model	O sigui, que teníem una vista important.	que teníem una missa important.	que teníem una vista important.
398	pa-056	o sigui	clips/pa-056__o-sigui__1016.49.wav	no	no	no	D-cap-model	Si algú vol vendre gent, s'etivoca.	I si ja ho val d'en Resien, se t'hi volca.  Se t'hi volca.	A més, a més, a més, a més, a més, a més, a més, a més,
399	pa-057	o sigui	clips/pa-057__o-sigui__249.45.wav	sí	no	no	C-un-model	molt poc temps, perquè tot això es va fer al tomb de 8 mesos, o sigui.	en un poc temps que vaig trobar a fer un tom de lluit més rostia.	"i molt poc temps per a això es va fer el ""Tom de I8"".  Més o ràpid."
400	pa-059	o sigui	clips/pa-059__o-sigui__266.13.wav	no	sí	no	C-un-model	que anar a l'una perquè, si no, no haguessin pogut fer el que es va fer,  penso jo, la cosa no va ser.	que en la una, perquè o sigui, no ho he pogut fer,  el que es va fer, penso jo.  La cosa no va ser...	que anar a l'una perquè, si no, no haguéssim pogut fer el que es va fer,  penso en jo.
401	pa-061	o sigui	clips/pa-061__o-sigui__161.05.wav	sí	no	no	C-un-model	i el comerç.  O sigui, la primera activitat dels germans, dels pioners...	Si la primera activitat dels germans, despionés, peri...	i que no hi hagi una altra gent que no té cap problema.
402	pa-062	o sigui	clips/pa-062__o-sigui__236.01.wav	sí	no	sí	B-dos-models	que teníem.  O sigui que és tota una... tota una col·lecció.  Això mateix.	Que tenim?  Sí, que és tot una col·lecció.	que és una cosa que tenim.  O sigui que és tota una... tota una col·lecció.  Això mateix.
403	pa-063	o sigui	clips/pa-063__o-sigui__826.09.wav	sí	sí	no	B-dos-models	I és modern.  O sigui que vam estar...  Estem a la primera paixa amb comerç.	O sigui que vam estar a la primera paix amb comets.	i és modern.
404	pa-064	o sigui	clips/pa-064__o-sigui__36.73.wav	sí	no	no	C-un-model	per programar el record, o sigui, a la vida.	A més, les seves gràcies a les eleccions d'aquesta vegada.	i el que ha de fer és fer-ho.
405	pa-065	o sigui	clips/pa-065__o-sigui__191.65.wav	sí	sí	sí	A-tres-models	O sigui que el paradís som nosaltres.	O sigui que el paradís són unes altres.	O sigui que el paradís som nosaltres.
406	pa-001	llavors	clips/pa-001__llavors__837.17.wav	sí	no	no	C-un-model	de la manera que llavors, quan s'acabàvem de regalar.	d'alguna manera.	i el seu figura de la manera que hi hagi,  doncs, quan s'acabàvem de regalar...
407	pa-002	llavors	clips/pa-002__llavors__550.25.wav	sí	no	sí	B-dos-models	però, bueno, llavors he de començar a veure les maniobres.	Però jo veia que comença bé les maniobres.	però, bueno, llavors he de començar a veure les maniobres.
408	pa-005	llavors	clips/pa-005__llavors__433.29.wav	sí	no	sí	B-dos-models	perquè tenen frau, a llavors es quedaven tot a l'import de la denúncia.	de temps frau, a les bones les quedaven tot a l'import de la denúncia.	perquè tenen frau, a llavors es quedaven tot a l'import de la denúncia.
409	pa-006	llavors	clips/pa-006__llavors__214.25.wav	no	sí	no	C-un-model	i ho deixem clar per a unes dones de ràpids del mòbil prop vendit.  Jo és una canventa jo, la portarem i deixarem caure per a algun taller.	d'al·mull i prop endit.  Llavors, amb una canota de xiu, la portarem,  i deixarem caure, portar-ho punta l'aigua.  Llavors, per tant,	i els veus en un moment que es veu.  I ho farem.  I deixarem caure per a un altre.
410	pa-007	llavors	clips/pa-007__llavors__657.25.wav	sí	sí	sí	A-tres-models	llavors això lògicament li va mereixer un nom al carrer nacional i es caldes	de faça. Llavors això l'Ajuntament li va mereixar un nom al Carrer Nacional i escaldes.	i que es faci una feina de fàcil.  Llavors això, lògicament,  li va mereixer un nom al carrer nacional.
411	pa-009	llavors	clips/pa-009__llavors__201.25.wav	no	no	no	D-cap-model	i la campana de l'asseu del consell General és de 1856 i és per codi...	La campana de l'asseu del consell general és de 1856.	i la campana de la sèrie del consell General és de 1856 i és per a que ho digui.
412	pa-010	llavors	clips/pa-010__llavors__386.25.wav	sí	sí	sí	A-tres-models	Allà, llavors, per intentar interpretar què devia voler dir en origen, aquest...	Ah, llavors, per intentar portar que devia voldria enlígen aquests dies.	A la llavors, per intentar interpretar què devia voler dir en l'Origem, aquest...
413	pa-014	llavors	clips/pa-014__llavors__228.25.wav	no	no	no	D-cap-model	I la feina per tots, en una casa, no n'hi havia de feina per tots.  Vots es tenien que espavilar i buscar-se la vida per ajudar a casa.	per tots, amb una casa no n'hi havia. De fet, a tots els es tenien que es pavilar  i a buscar-se la vida per ajudar a casa.	I la feina per tots, amb una casa, no n'hi havia.  La feina per tots,  vols escenar i buscar-se la vida per ajudar a casa?
414	pa-015	llavors	clips/pa-015__llavors__197.25.wav	sí	no	sí	B-dos-models	i edat. I llavors, a part de tindre aquests fills,	d'edat i abans a part de tindre a la G3	lletat. I llavors, a part de tindre aquest sis,
415	pa-016	llavors	clips/pa-016__llavors__15.05.wav	sí	no	sí	B-dos-models	i llavors li toca el meu marit ser darrere de contes, i és així.	i jo li toca el meu marit ser redeu de contes i es així és.	i llavors li toca al meu marit ser redó de contès, i és així.
416	pa-017	llavors	clips/pa-017__llavors__361.25.wav	sí	no	no	C-un-model	perroquial.  Llavors, algunes perroquies bloquejarem completament el comú.  Nosaltres anirem consignant.	El que passa és que el que ha de ser és el que s'ha de fer.	i a Montès, algunes perroquies bloquejarem completament el comú.  Nosaltres anirem concients.
417	pa-018	llavors	clips/pa-018__llavors__1055.09.wav	sí	no	sí	B-dos-models	llavors, com més desapercebut passa, millor.	i avont és com més desapercebut pas, eh, millor.	llavors, com més desapercebut passa, millor.
418	pa-019	llavors	clips/pa-019__llavors__422.25.wav	sí	no	sí	B-dos-models	perquè ens donava eines per poder fer més coses  de les que podíem fer fins al llavors.  Aquest era el missatge.	perquè ens donava eines per fer més coses als que podíem fer fins allà.	perquè ens donava eines per poder fer més coses  que podíem fer fins al llavors.
419	pa-022	llavors	clips/pa-022__llavors__57.37.wav	no	no	no	D-cap-model	I una cosa un gran record que tinc de l'Ebonzi, que encara duré ara...	Jo no cosa un gran record que tinc de levons i encara duré ara.	I una cosa amb un gran record que tinc de l'Ebonzi,  encara duré ara...
420	pa-023	llavors	clips/pa-023__llavors__48.81.wav	sí	no	sí	B-dos-models	84, 82%, i, llavors, vull dir, no hi havia ministre de l'Interior.	i ara veig molt bé que hi ha d'haver-ho d'una altra manera de fer-ho.	84, 82% i llavors vull dir no hi havia ministre de l'interior.
421	pa-024	llavors	clips/pa-024__llavors__336.85.wav	no	no	no	D-cap-model	i el que va passar a l'estat espanyol.	Però si veiem molt que calia superar,  perquè no el debat que havíem acabat.	i que no hi hagi una altra.
422	pa-026	llavors	clips/pa-026__llavors__81.13.wav	no	no	no	D-cap-model	i els vots...	Aleshores...	i els vots...
423	pa-027	llavors	clips/pa-027__llavors__137.93.wav	no	no	no	D-cap-model	que es podria fer a les reunions.  I tant en tant, cada mes, cada mes i mig,  fèiem una reunió per a les al·lucines.	De tant, cada mes i mig feien una reunió.	i que no hi hagi unes reunions.
424	pa-028	llavors	clips/pa-028__llavors__151.01.wav	sí	no	no	C-un-model	Vam fer una feina, i llavors es van decidir tots.	de fer-ne, i el que vols és convendre-se a dir tots.	i de vegades es va fer un moment de feina.
425	pa-029	llavors	clips/pa-029__llavors__42.97.wav	no	no	no	D-cap-model	i això plenava molt sobre... sense que es digui...	i això plenava molt sobre les seves digues.	i això plenava molt sense que es digui.
426	pa-030	llavors	clips/pa-030__llavors__157.61.wav	sí	no	sí	B-dos-models	i vam tornar-hi, i llavors ja va vindre el Cíndic Farras i companyia,  i el que sí...	A mi em van tornar a dir que ja va vendre el sindic farràs  i acompanyar-ho en el que sigui.	i vam tornar-hi, i llavors ja va vendre el Cíndic Farras i companyia,  i el que sí és...
427	pa-032	llavors	clips/pa-032__llavors__174.13.wav	no	no	no	D-cap-model	i el debò és de tant en tant, no sé quant és.	que es posa en una institució.	i el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el que ha de fer és que el
428	pa-033	llavors	clips/pa-033__llavors__71.53.wav	sí	no	sí	B-dos-models	I llavors, normalment, ja la gent que més o menys ve a tractar ho veia de...	Normalment hi ha la gent que pesa una espai tracta,  ho veia de...	i llavors normalment ja la gent que més o menys va a tractar
429	pa-034	llavors	clips/pa-034__llavors__29.17.wav	no	no	no	D-cap-model	Ja es va pujar, va a veure posclava, que hi havia molta gent.	Bé, ens hem vaig puxar.  Vaig veure pos clau de cap i molta història.	Ja es va pujar, va haver a veure el posclava, que hi havia molta gent.
430	pa-036	llavors	clips/pa-036__llavors__535.25.wav	no	no	no	D-cap-model	A mi m'ho he fet junts, doncs jo ja m'hi he canviat tot el men.	i jo vaig canviar tot almenyament.	i que no hi hagi una altra.
431	pa-037	llavors	clips/pa-037__llavors__92.53.wav	sí	sí	sí	A-tres-models	I jo era així, i a bon dia ja, des de llavors,  encara cada any es fa el dia 2 de febrer,  fem un dinar o un trobar de tot el constituent.	i ja ho des de llavors, encara cada any es fa el dia 2 de febrer,  fem un dinar o un trupeu de trobades de tot el qual s'hi ha continuat.	i que no hi hagi una altra.  I jo era així.  I ja des de llavors,  encara cada any es fa el dia 2 de febrer,  fem un dinar o un troupau  de trobada de tot el constituent.
432	pa-038	llavors	clips/pa-038__llavors__264.13.wav	sí	no	no	C-un-model	Llavors, això va ser la meva motivació principal,  va ser que la màgia...	Això va ser la meva motivació principal, va ser la meva vida.	I això va ser la meva motivació principal, va ser que va acabar amb el meu.
433	pa-041	llavors	clips/pa-041__llavors__108.25.wav	no	sí	sí	B-dos-models	Era una pinya. Abans ho parlàvem amb una persona implicada en la cuina de l'escola, els pares.	I una pinya, llavors, abans ho parlàvem, doncs amb una persona implicada  la cuina de l'escola, els pares.	Era una pinya, llavors abans ho parlàvem  amb una persona implicada en la cuina de l'escola, els pares.
434	pa-045	llavors	clips/pa-045__llavors__194.93.wav	sí	no	sí	B-dos-models	Allò.  Clar, llavors, el caçador recollitor que està en un lloc fos,  que és la cova...	Allò.  Allò, vols un casador recollectó que està amb un lloc fos que és la cove?	Allò.  Clar, llavors, el caçador recollitor,  que està en un lloc fos, que és la Cobra,
435	pa-046	llavors	clips/pa-046__llavors__381.13.wav	sí	no	no	C-un-model	i el client.  Però, llavors, necessites una bona tapisseria.	Però el llobor necessites una bonata pisseria.	i que no hi hagi una altra manera de fer-ho.
436	pa-048	llavors	clips/pa-048__llavors__1244.97.wav	sí	no	no	C-un-model	Llavors, els catalans han volgut...	Demons, els catalans han volgut...	A més, els catalans han volgut...
437	pa-049	llavors	clips/pa-049__llavors__230.45.wav	sí	no	sí	B-dos-models	i aquí en Dorre va vindre, llavors, el delegat de premsa de la Casa Blanca.  No sé si va ser arreu realment d'aquesta carta.	I aquí en Dorra va vindre llabons el delegat de prensa de la casa blanca.  No sé si va ser arreu de la càrrecament de aquesta càrrec.	i aquí en Dorre va vindre llavors el delegat de premsa de la Casa Blanca.  No sé si va ser arreu realment d'aquesta carta.
438	pa-051	llavors	clips/pa-051__llavors__47.61.wav	no	no	no	D-cap-model	Si volies vestir-ho, estava al camp i quan no tenia feina...	Tenim 30 anys de l'estiva.  Estava el camp i no t'he vingut a fer-ne.	i que no hi hagi cap problema.
439	pa-052	llavors	clips/pa-052__llavors__68.73.wav	no	no	no	D-cap-model	i el estiu de vots que hi ha cap a torna.	I el estiu és un piacapotor.	i el estiu de vosaltres que hi hagi patormes.
440	pa-053	llavors	clips/pa-053__llavors__40.73.wav	sí	no	no	C-un-model	Llavors, que vaig tenir poder 15 o 16 anys,	A la bons, com va tenir 15 o 16 anys que em van viure.	A la bons, com vam tenir, que vaig tenir per de 15 o 16 anys,  que em van apassar.
