ordre_triple	rang	prioritat_triple	id_persona	forma	interval_escolta	clip	token_prob_min	small	base	greedy	forma_en_qa	consens_dos_asr	text_qa	text_greedy	justificacio	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio
308	3	C-dos-models	pa-002	llavors	550.25-556.75	clips/pa-002__llavors__550.25.wav		sí	no	sí	sí	no	però, bueno, llavors he de començar a veure les maniobres.	però, bueno, llavors he de començar a veure les maniobres.	dos models; requereix contrast auditiu	pendent					
309	3	C-dos-models	pa-002	reformeta	12.25-17.75	clips/pa-002__reformeta__12.25.wav		sí	no	sí	sí	no	per molt que s'hagués fet, el que se'n va dir reformeta,	per molt que s'hagués fet, el que se'n va dir reformeta,	dos models; requereix contrast auditiu	pendent					
310	3	C-dos-models	pa-003	aviam	180.17-188.79	clips/pa-003__aviam__180.17.wav		no	sí	sí	no	no	El que fa a nivell polític, la primera vegada quan es crea l'amaternal, com he dit,	Aviam, pel que fa a nivell polític, la primera vegada quan es crea l'amaternal, com he dit,	dos models; requereix contrast auditiu	pendent					
311	3	C-dos-models	pa-003	bueno	227.05-235.71	clips/pa-003__bueno__227.05.wav		sí	no	sí	sí	no	"totalitari perquè hi havia pares en el sentit de dir  ""Bueno, hi existeix un sistema educatiu ric""."	"totalitari perquè hi havia pares en el sentit de dir  ""bueno, hi existeix un sistema educatiu ric""."	dos models; requereix contrast auditiu	pendent					
312	3	C-dos-models	pa-003	bé	0.00-7.19	clips/pa-003__b__0.00.wav		sí	no	sí	sí	no	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	dos models; requereix contrast auditiu	pendent					
313	3	C-dos-models	pa-003	clar	451.89-459.15	clips/pa-003__clar__451.89.wav		sí	no	sí	sí	no	Sí, perquè és clar, aviam, l'educació són persones.	Sí, perquè és clar, aviam l'educació són persones.	dos models; requereix contrast auditiu	pendent					
314	3	C-dos-models	pa-003	ensenyança	279.69-286.23	clips/pa-003__ensenyan-a__279.69.wav		sí	no	sí	sí	no	que s'integre amb una primera ensenyança de sistemes educatius estrangers?	que s'integre amb una primera ensenyança de sistemes educatius estrangers,  com?	dos models; requereix contrast auditiu	pendent					
315	3	C-dos-models	pa-005	llavors	433.29-439.27	clips/pa-005__llavors__433.29.wav		sí	no	sí	sí	no	perquè tenen frau, a llavors es quedaven tot a l'import de la denúncia.	perquè tenen frau, a llavors es quedaven tot a l'import de la denúncia.	dos models; requereix contrast auditiu	pendent					
316	3	C-dos-models	pa-006	clar	379.25-383.75	clips/pa-006__clar__379.25.wav		sí	no	sí	sí	no	Puc estar aigua, si hi hagués molta aigua, molt poca aigua, perquè, clar, aquí...	i que no hi hagi poc d'aigua, si hi hagués molt poc d'aigua, molt poc d'aigua, perquè, clar, aquí no és el lloc.	dos models; requereix contrast auditiu	pendent					
317	3	C-dos-models	pa-006	diguem	530.25-535.75	clips/pa-006__diguem__530.25.wav		sí	no	sí	sí	no	modernes. Les primeres instal·lacions de producció elèctrica, diguem endorra,	modernes. Les primeres instal·lacions de producció elèctrica, diguem endorra,	dos models; requereix contrast auditiu	pendent					
318	3	C-dos-models	pa-008	perquè	55.25-59.75	clips/pa-008__perqu__55.25.wav		sí	no	sí	sí	sí	Per què? Perquè el que fem als fallares és la seva escorça palar-la.	Per què? Perquè el que fem als fallares és la seva escorsa,  pelar-la.	dos models; requereix contrast auditiu	pendent					
319	3	C-dos-models	pa-011	aleshores	89.33-95.07	clips/pa-011__aleshores__89.33.wav		no	sí	sí	no	no	a les hores de la seva mare, la filla Escutera, la mestres home de la casa,	i era ells, aleshores amb la seva mare,  reivindult d'escutera, la més trés home de la casa,  van decidir...	dos models; requereix contrast auditiu	pendent					
320	3	C-dos-models	pa-011	evidentment	157.65-163.71	clips/pa-011__evidentment__157.65.wav		sí	no	sí	sí	no	evidentment que el Pal és una casa molt més gran que qualsevol casa més humil.	evidentment que el Pal és una casa molt més gran que qualsevol casa més humil.	dos models; requereix contrast auditiu	pendent					
321	3	C-dos-models	pa-012	bé	160.25-164.75	clips/pa-012__b__160.25.wav		sí	no	sí	sí	sí	o bé algunes campanyes d'un campanar d'un poble.	o bé algunes campanes d'un campanat un poble.	dos models; requereix contrast auditiu	pendent					
322	3	C-dos-models	pa-013	doncs	56.85-61.87	clips/pa-013__doncs__56.85.wav		sí	no	sí	sí	sí	i més recentment, també, doncs, si pot accedir, hi ha l'avivació.	i més recentment, també, doncs, si pot accedir, hi ha l'avió...	dos models; requereix contrast auditiu	pendent					
323	3	C-dos-models	pa-014	a veure	617.45-637.95	clips/pa-014__a-veure__617.45.wav		sí	no	sí	sí	no	és els anys 40, 43, 44 que ha hagut un viatge que fan a Barcelona,  una sèrie d'autoritats i una sèrie davant de dansaites del contrapàs,  que van a veure com actuaven els esbarcs a baix a Barcelona,  van veure un espectacle que hi havia.	és els anys 40, 43, 44,  que ha hagut un viatge que fa en Barcelona,  una sèrie d'autoritats i una sèrie de dentsites del contrapàs,  que van a veure com actuaven els esbarcs a baix a Barcelona,  amb veu una espectacle que hi havia.	dos models; requereix contrast auditiu	pendent					
324	3	C-dos-models	pa-014	clar	978.45-982.95	clips/pa-014__clar__978.45.wav		sí	no	sí	sí	sí	també ho puguem dir-ho, perquè és clar, tot el que ens ha passat no ho sabem segur.	i també ho puguem dir-ho, perquè és clar,  tot el que ens ha passat no ho sabem segur.	dos models; requereix contrast auditiu	pendent					
325	3	C-dos-models	pa-014	és a dir	95.45-107.35	clips/pa-014__s-a-dir__95.45.wav		no	sí	sí	no	sí	Me n'he assabentat de moltes coses i m'he fet una miqueta estudiós del ball del contrapàs.	M'he assabentat de moltes coses,  és a dir, m'he fet una miqueta,  com diríem, una miqueta estudiós del ball del contrapràs.	dos models; requereix contrast auditiu	pendent					
326	3	C-dos-models	pa-015	bé	42.25-48.75	clips/pa-015__b__42.25.wav		sí	no	sí	sí	sí	i 15. Bé, hem de pensar que és una família prou rellevant en aquesta.	15. Bé, hem de pensar que és una família prou rellevant en aquest	dos models; requereix contrast auditiu	pendent					
327	3	C-dos-models	pa-015	llavors	197.25-204.75	clips/pa-015__llavors__197.25.wav		sí	no	sí	sí	no	i edat. I llavors, a part de tindre aquests fills,	lletat. I llavors, a part de tindre aquest sis,	dos models; requereix contrast auditiu	pendent					
328	3	C-dos-models	pa-016	és a dir	85.97-90.59	clips/pa-016__s-a-dir__85.97.wav		sí	no	sí	sí	no	sempre. És a dir, després he tingut altres càrrecs i encara que no ho sembli, doncs...	i sempre.  És a dir, després he tingut altres càrrecs i encara que no ho sembli, doncs...	dos models; requereix contrast auditiu	pendent					
329	3	C-dos-models	pa-017	bueno	823.25-829.75	clips/pa-017__bueno__823.25.wav		no	sí	sí	no	sí	Les dones ens diuen que les han ficat aquí, les han aparcat una mica,  que faig el que hagin de fer, però que caigui.	"i els dones ens diuen ""bueno, mira, les han ficat aquí, les han aparcat una mica,  que faiggin el que hagin de fer, però que caiguin""."	dos models; requereix contrast auditiu	pendent					
330	3	C-dos-models	pa-017	evidentment	152.25-161.75	clips/pa-017__evidentment__152.25.wav		sí	no	sí	sí	sí	Evidentment, amb coses diferents perquè penso que el que era la part d'endorra la vella i l'escaldes era...	Evidentment, amb coses diferents,  perquè penso que el que era la part endorra la vella i escaldes	dos models; requereix contrast auditiu	pendent					
331	3	C-dos-models	pa-018	a nivell	188.45-191.87	clips/pa-018__a-nivell__188.45.wav		sí	sí	no	sí	sí	Quan se vol, a nivells de programes polítics,	quan se vol. A nivells de programa polític,  s'havia de...	dos models; requereix contrast auditiu	pendent					
332	3	C-dos-models	pa-018	llavors	1055.09-1058.87	clips/pa-018__llavors__1055.09.wav		sí	no	sí	sí	sí	llavors, com més desapercebut passa, millor.	llavors, com més desapercebut passa, millor.	dos models; requereix contrast auditiu	pendent					
333	3	C-dos-models	pa-018	és a dir	74.49-79.83	clips/pa-018__s-a-dir__74.49.wav		no	sí	sí	no	sí	que volien ser com un poc.	i no en viure, és a dir, que nosaltres podíem dir que volíem ser	dos models; requereix contrast auditiu	pendent					
334	3	C-dos-models	pa-019	clar	415.25-419.75	clips/pa-019__clar__415.25.wav		sí	no	sí	sí	no	el país. I, clar, trasladals i que la constitució no seria	i, clar, trasladals i que la Constitució no seria un miracle.	dos models; requereix contrast auditiu	pendent					
335	3	C-dos-models	pa-019	perquè	101.25-105.75	clips/pa-019__perqu__101.25.wav		sí	sí	no	sí	sí	perquè realment va ser un consell molt intens.  Es va treballar moltíssim.	i ha pensat que va ser un consell molt intens.  Es va treballar moltíssim.	dos models; requereix contrast auditiu	pendent					
336	3	C-dos-models	pa-020	doncs	247.37-252.03	clips/pa-020__doncs__247.37.wav		sí	no	sí	sí	no	perquè, doncs, quan un no l'anirà bé, que s'anirà bé per pinjar,	perquè, doncs, quan no li ha d'anar bé per pinjar,	dos models; requereix contrast auditiu	pendent					
337	3	C-dos-models	pa-021	a veure	108.77-116.95	clips/pa-021__a-veure__108.77.wav		sí	no	sí	sí	sí	i a veure anàvem a fer aquesta Constitució que no era fàcil.	i a veure anar a Boma a fer aquesta Constitució, que no era fàcil.	dos models; requereix contrast auditiu	pendent					
338	3	C-dos-models	pa-021	bé	257.61-263.59	clips/pa-021__b__257.61.wav		sí	sí	no	sí	sí	És ben veritat que, com es diu,	és ben veritat que, com es diu,	dos models; requereix contrast auditiu	pendent					
339	3	C-dos-models	pa-022	bé	270.45-275.35	clips/pa-022__b__270.45.wav		sí	sí	no	sí	sí	A part que ja feia anys que es venia empenyent amb el canvi i també...	i que no es poden fer per fer-ho.	dos models; requereix contrast auditiu	pendent					
340	3	C-dos-models	pa-023	bueno	96.81-100.35	clips/pa-023__bueno__96.81.wav		sí	no	sí	sí	sí	bueno, de l'aldozo del niño...	bueno, del aldosa de Caní,	dos models; requereix contrast auditiu	pendent					
341	3	C-dos-models	pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav		sí	sí	no	sí	sí	i un bombé que prenia les mides.	i un bomber que preni les mides.	dos models; requereix contrast auditiu	pendent					
342	3	C-dos-models	pa-023	de fet	72.49-78.31	clips/pa-023__de-fet__72.49.wav		sí	no	sí	sí	sí	dels legislatures que van ocupar 4 anys, de fet.	i de les legislatures que van ocupar 4 anys, de fet.	dos models; requereix contrast auditiu	pendent					
343	3	C-dos-models	pa-023	llavors	48.81-56.07	clips/pa-023__llavors__48.81.wav		sí	no	sí	sí	sí	84, 82%, i, llavors, vull dir, no hi havia ministre de l'Interior.	84, 82% i llavors vull dir no hi havia ministre de l'interior.	dos models; requereix contrast auditiu	pendent					
344	3	C-dos-models	pa-023	vull dir	22.05-26.43	clips/pa-023__vull-dir__22.05.wav		sí	no	sí	sí	sí	Vull dir, els que fèiem part de la Junta Constitucional,	i vull dir els que fan part de la Junta Constitucional.	dos models; requereix contrast auditiu	pendent					
345	3	C-dos-models	pa-024	a nivell	1547.93-1552.91	clips/pa-024__a-nivell__1547.93.wav		sí	sí	no	sí	no	I jo, no?  Llavors, clar, a nivell...  Ja el Jaume Bartomeu ha governat també, i soc jo...	i això és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és el que és	dos models; requereix contrast auditiu	pendent					
346	3	C-dos-models	pa-024	perquè	225.53-230.35	clips/pa-024__perqu__225.53.wav		sí	no	sí	sí	no	Doncs vaig així, perquè va ser unes votacions molt interessants.	Doncs vaig així, perquè va ser unes votacions molt interessants,  van repetir diverses...	dos models; requereix contrast auditiu	pendent					
347	3	C-dos-models	pa-025	aleshores	361.93-368.19	clips/pa-025__aleshores__361.93.wav		sí	no	sí	sí	no	i, aleshores, ens tornem més primirats.	i aleshores ens tornem més primirats.	dos models; requereix contrast auditiu	pendent					
348	3	C-dos-models	pa-025	clar	116.09-119.95	clips/pa-025__clar__116.09.wav		sí	sí	no	sí	sí	i la política, però, clar, és que el govern també...	i que el govern també ha de ser un partit.	dos models; requereix contrast auditiu	pendent					
349	3	C-dos-models	pa-025	o sigui	1462.85-1472.59	clips/pa-025__o-sigui__1462.85.wav		sí	no	sí	sí	no	i t'hi he rebut com l'home de França.  O sigui, aleshores era una mica perillós, amb aquest sentit.	i t'hi he rebut com l'home de França.  O sigui, aleshores era una mica perillós, amb aquest sentit.	dos models; requereix contrast auditiu	pendent					
350	3	C-dos-models	pa-026	bueno	194.89-200.75	clips/pa-026__bueno__194.89.wav		no	sí	sí	no	sí	Bé, ben proposat, ben guanyat les eleccions del 89.	i, bueno, ben proposat, ben guanyat les eleccions del 89,	dos models; requereix contrast auditiu	pendent					
351	3	C-dos-models	pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav		sí	sí	no	sí	sí	Va bé? Doncs aquí és el mateix.	Vale? Doncs aquí és el mateix.	dos models; requereix contrast auditiu	pendent					
352	3	C-dos-models	pa-026	o sigui	434.17-437.67	clips/pa-026__o-sigui__434.17.wav		sí	no	sí	sí	sí	O sigui, que teníem una vista important.	o sigui, que tenim una vista important.	dos models; requereix contrast auditiu	pendent					
353	3	C-dos-models	pa-026	vull dir	311.77-316.07	clips/pa-026__vull-dir__311.77.wav		sí	no	sí	sí	sí	que està adonant, vull dir, que vol ser un bon cap de govern.	que està adonant, vull dir, que vol ser un bon cap de govern.	dos models; requereix contrast auditiu	pendent					
354	3	C-dos-models	pa-027	bé	30.97-36.55	clips/pa-027__b__30.97.wav		no	sí	sí	no	sí	I ara la meva consellera està parlant molt públic.  Allà hi havia molt públic, hi va haver bullíssim.	i ara la meva escritlla està parlant molt públic.  M'agradaria molt públic i va bé, bullíssim.	dos models; requereix contrast auditiu	pendent					
355	3	C-dos-models	pa-027	clar	35.13-40.47	clips/pa-027__clar__35.13.wav		sí	no	sí	sí	sí	I bé, clar, jo per tot em va ser un cop,	i, bueno, clar, per tu, va ser un cop,	dos models; requereix contrast auditiu	pendent					
356	3	C-dos-models	pa-029	o sigui	243.13-248.63	clips/pa-029__o-sigui__243.13.wav		sí	no	sí	sí	no	que no hi veus un cau, o sigui, que no hi veus un desgovern.	que no hi hagués un cau, o sigui, que no hi hagués un desgovern.	dos models; requereix contrast auditiu	pendent					
357	3	C-dos-models	pa-030	llavors	157.61-163.15	clips/pa-030__llavors__157.61.wav		sí	no	sí	sí	no	i vam tornar-hi, i llavors ja va vindre el Cíndic Farras i companyia,  i el que sí...	i vam tornar-hi, i llavors ja va vendre el Cíndic Farras i companyia,  i el que sí és...	dos models; requereix contrast auditiu	pendent					
358	3	C-dos-models	pa-031	a veure	4.25-9.07	clips/pa-031__a-veure__4.25.wav		sí	sí	no	sí	sí	I es va decidir que a veure quin sindic podien portar i tothom podria portar.	i es va decidir que quins sindic podien portar.	dos models; requereix contrast auditiu	pendent					
359	3	C-dos-models	pa-031	clar	154.57-158.95	clips/pa-031__clar__154.57.wav		sí	no	sí	sí	sí	No sé si els copríncepts, tampoc, no siguin clar,  veure el que sigui, el que podíem fer, no podíem arribar.	i els coprínceptes tampoc no siguin clar  a veure el que sí, el que podíem fer, no podíem arribar.	dos models; requereix contrast auditiu	pendent					
360	3	C-dos-models	pa-031	doncs	414.05-419.11	clips/pa-031__doncs__414.05.wav		sí	no	sí	sí	no	Doncs ja ho defensarem i es va decidir que sí, i vam decidir.	i el que hem hagut, doncs ja ho defensarem,  i es va decidir que sí.  I vam decidir.	dos models; requereix contrast auditiu	pendent					
361	3	C-dos-models	pa-031	tirar endavant	146.09-150.31	clips/pa-031__tirar-endavant__146.09.wav		sí	no	sí	sí	no	que s'havia de tirar endavant de la manera que fos.	que s'havia de tirar endavant de la manera que fos.	dos models; requereix contrast auditiu	pendent					
362	3	C-dos-models	pa-032	doncs	21.61-27.23	clips/pa-032__doncs__21.61.wav		sí	sí	no	sí	sí	Doncs vam firmar un paper allà per presentar una candidatura per veure...	i van firmar un paper allà per presentar una candidatura per veure...	dos models; requereix contrast auditiu	pendent					
363	3	C-dos-models	pa-033	llavors	71.53-76.35	clips/pa-033__llavors__71.53.wav		sí	no	sí	sí	no	I llavors, normalment, ja la gent que més o menys ve a tractar ho veia de...	i llavors normalment ja la gent que més o menys va a tractar	dos models; requereix contrast auditiu	pendent					
364	3	C-dos-models	pa-033	tirar endavant	135.69-141.51	clips/pa-033__tirar-endavant__135.69.wav		sí	sí	no	sí	no	i havia vingut aquí a tirar endavant tot aquest projecte.	i havia vingut aquí tirant de banda tot aquest projecte.	dos models; requereix contrast auditiu	pendent					
365	3	C-dos-models	pa-034	bé	18.85-23.15	clips/pa-034__b__18.85.wav		sí	no	sí	sí	sí	de la vall, passar bé a algú, un esplancar-te, uns llançors.	de la Vall, passar bé a algú, que és plancar-te, uns llançors.	dos models; requereix contrast auditiu	pendent					
366	3	C-dos-models	pa-035	doncs	195.49-202.11	clips/pa-035__doncs__195.49.wav		sí	no	sí	sí	sí	I, bé, ja he participat, doncs, una mica, una mica.	I, ara, ja he vingut a participar, doncs, una mica.	dos models; requereix contrast auditiu	pendent					
367	3	C-dos-models	pa-037	bé	105.29-124.79	clips/pa-037__b__105.29.wav	0.9336;0.4035;0.9620;0.9723;0.3064	sí	no	sí	sí	sí	de la constituent, gairebé existim tothom. Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquesta és la mateixa RNA i torne bé, molt bé, molt bé, molt bé, torna a comentar coses,  del que ha de fer bé passat, però sobretot...	i que s'ha constituït.  Gailbé, existim tothom.  Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquí està el mateix, he bainat.  I torne bé.  Bona ambient, molt bona ambient.  Molt bona ambient.  Torna a comentar coses del que ha fet passat,  però sobretot...	dos models; requereix contrast auditiu	pendent					
368	3	C-dos-models	pa-037	clar	186.29-198.91	clips/pa-037__clar__186.29.wav		sí	no	sí	sí	sí	Després, clar, quan va arribar cap al final de tot, ens van informar més.  Perquè a final havíem de votar que sí, sinó...	Després, clar, quan va arribar cap al final de tot, ens van informar més,  perquè a final havíem de votar que sí, sinó...	dos models; requereix contrast auditiu	pendent					
369	3	C-dos-models	pa-037	crec	424.61-437.99	clips/pa-037__crec__424.61.wav		sí	no	sí	sí	no	de fa molts anys en darrere i, a bon lloc d'extensió,  hem de mirar que s'acabin i se n'han acabat.  Jo crec que se n'han acabat.	de fa molts anys en darrere, i a bon regat d'extensió,  hem de mirar que s'acabin i s'han acabat,  jo crec que s'han acabat.	dos models; requereix contrast auditiu	pendent					
370	3	C-dos-models	pa-038	diguem	251.25-260.55	clips/pa-038__diguem__251.25.wav		no	sí	sí	no	sí	el seu gust, però generalment inspirats o tele dirigits.	el seu gust, però generalment inspirats o, diguem, teledirigits.	dos models; requereix contrast auditiu	pendent					
371	3	C-dos-models	pa-038	doncs	2008.17-2013.95	clips/pa-038__doncs__2008.17.wav		sí	no	sí	sí	sí	No? Doncs era per això, perquè no eren de la corda.	No? Doncs era per això.  Perquè no eren de la corda.	dos models; requereix contrast auditiu	pendent					
372	3	C-dos-models	pa-041	a veure	200.25-205.75	clips/pa-041__a-veure__200.25.wav		sí	no	sí	sí	sí	vol dir que material pedagògic no, a veure, era molt limitat.	vol dir que material pedagògic no...  A veure, era molt limitat.	dos models; requereix contrast auditiu	pendent					
373	3	C-dos-models	pa-041	llavors	108.25-115.75	clips/pa-041__llavors__108.25.wav		no	sí	sí	no	sí	Era una pinya. Abans ho parlàvem amb una persona implicada en la cuina de l'escola, els pares.	Era una pinya, llavors abans ho parlàvem  amb una persona implicada en la cuina de l'escola, els pares.	dos models; requereix contrast auditiu	pendent					
374	3	C-dos-models	pa-041	tirar endavant	102.25-106.75	clips/pa-041__tirar-endavant__102.25.wav		sí	sí	no	sí	no	per tirar endavant l'escola, un ensenyament propi del país.	i que es poden fer unes coses.	dos models; requereix contrast auditiu	pendent					
375	3	C-dos-models	pa-045	clar	399.85-405.95	clips/pa-045__clar__399.85.wav	0.9012;0.9997	sí	no	sí	sí	sí	amb la qual estava bastant clar, semblava bastant clar.	amb el qual estava... amb res.  Amb el qual estava bastant clar.  Semblava bastant clar.	dos models; requereix contrast auditiu	pendent					
376	3	C-dos-models	pa-046	aleshores	527.57-532.55	clips/pa-046__aleshores__527.57.wav		sí	no	sí	sí	no	la veritat és que es degrada el servei i, aleshores, ho perdem tot.	i no pot tenir.  La veritat és que es degrada el servei  i aleshores ho perdem tot.	dos models; requereix contrast auditiu	pendent					
377	3	C-dos-models	pa-049	a veure	244.85-252.03	clips/pa-049__a-veure__244.85.wav	0.0989;0.9962	sí	sí	no	sí	sí	i ara ja no ens ho pot dir.  Però van anar a veure l'amistat amb el meu pare.  El meu pare els va anar a veure després o així.	i el meu pare es va veure després a la xarxa.	dos models; requereix contrast auditiu	pendent					
378	3	C-dos-models	pa-049	aleshores	110.29-118.67	clips/pa-049__aleshores__110.29.wav		sí	no	sí	sí	sí	I cada vestit és diferent, segons la persona,  com cada vida també és diferent.  Aleshores, voldríem arrancar un moment...	i cada vestit és diferent segons la persona,  com cada vida també és diferent.  Aleshores, voldria m'arrancar un moment.	dos models; requereix contrast auditiu	pendent					
379	3	C-dos-models	pa-049	bé	74.21-82.63	clips/pa-049__b__74.21.wav		sí	no	sí	sí	sí	perquè a la llarga i sobretot en petits països.  S'ha de partir de la base d'entre tots fer-ho tot.  O bé que la dona ara...	perquè a la llarga i sobretot en petits països,  s'ha de partir de la base d'entre tots fer-ho tot.  O bé que la dona ara...	dos models; requereix contrast auditiu	pendent					
380	3	C-dos-models	pa-049	evidentment	117.17-126.51	clips/pa-049__evidentment__117.17.wav		sí	no	sí	sí	sí	Volem arrancar el moment primer,  el primer fil del teu contacte amb la vida,  que evidentment és el lloc on...	Vull dir, a més, voldria m'arrancar el moment primer,  el primer fil del teu contacte amb la vida,  que evidentment és el lloc on...	dos models; requereix contrast auditiu	pendent					
381	3	C-dos-models	pa-049	llavors	230.45-239.67	clips/pa-049__llavors__230.45.wav		sí	no	sí	sí	sí	i aquí en Dorre va vindre, llavors, el delegat de premsa de la Casa Blanca.  No sé si va ser arreu realment d'aquesta carta.	i aquí en Dorre va vindre llavors el delegat de premsa de la Casa Blanca.  No sé si va ser arreu realment d'aquesta carta.	dos models; requereix contrast auditiu	pendent					
382	3	C-dos-models	pa-049	vull dir	208.09-214.63	clips/pa-049__vull-dir__208.09.wav		sí	no	sí	sí	sí	Va fer una carta al president dels Estats Units  aprofitant que la família de la Moàbia, vull dir, aquella reina...	Va fer una carta al president dels Estats Units  aprofitant que la família de la Moàbia, vull dir,  que l'arenya...	dos models; requereix contrast auditiu	pendent					
383	3	C-dos-models	pa-051	clar	161.85-167.07	clips/pa-051__clar__161.85.wav		sí	sí	no	sí	no	entor, tronassorda i joclar això l'he rendat als remats.	en tor, per anar a xorda i joclar això l'he rendat als remats.	dos models; requereix contrast auditiu	pendent					
384	3	C-dos-models	pa-052	bueno	41.97-47.23	clips/pa-052__bueno__41.97.wav		sí	no	sí	sí	no	(riu)  I, bueno, tinc certs germans.	I, bueno, tinc certs germans.	dos models; requereix contrast auditiu	pendent					
385	3	C-dos-models	pa-052	perquè	92.65-96.47	clips/pa-052__perqu__92.65.wav		sí	no	sí	sí	no	I ara m'embaric, ja no hi ve, perquè li venen un moment...	i ara m'amaguen, ja no hi ve, ja perquè li venen.	dos models; requereix contrast auditiu	pendent					
386	3	C-dos-models	pa-054	a veure	77.97-81.87	clips/pa-054__a-veure__77.97.wav		sí	no	sí	sí	no	Ja veuré que hi va una Barcelona,  es per dennes i no hi porten mai a l'estat.	i a veure si va anar a Barcelona, es pertenyés a l'únic portant mai a la presó.	dos models; requereix contrast auditiu	pendent					
387	3	C-dos-models	pa-054	llavors	156.57-161.51	clips/pa-054__llavors__156.57.wav		sí	no	sí	sí	no	i llavors sortim a l'Òs i això em puc d'haver per allà.	i llavors sortirem a l'oposició.	dos models; requereix contrast auditiu	pendent					
388	3	C-dos-models	pa-055	bueno	194.93-200.67	clips/pa-055__bueno__194.93.wav		no	sí	sí	no	sí	i bé, ben proposat, ben guanyat les eleccions del 89.	i, bueno, ben proposat ben guanyar les eleccions del 89.	dos models; requereix contrast auditiu	pendent					
389	3	C-dos-models	pa-055	vull dir	311.73-315.91	clips/pa-055__vull-dir__311.73.wav		sí	no	sí	sí	no	que el que està adonant, vull dir, que vol ser un bon cap de govern.	que ha estat d'onar, vull dir, que vol ser un bon cap de govern.	dos models; requereix contrast auditiu	pendent					
390	3	C-dos-models	pa-056	aleshores	393.13-397.83	clips/pa-056__aleshores__393.13.wav		sí	no	sí	sí	no	i, aleshores, això està tan quadriculat.	i, aleshores, això està tan quadriculat.	dos models; requereix contrast auditiu	pendent					
391	3	C-dos-models	pa-056	bé	436.49-441.47	clips/pa-056__b__436.49.wav		sí	sí	no	sí	sí	"""Pasabe"" o ""pero sentimen"" o ""pero nonimidad""."	...pues pasàve o sentimeno, però no animitat.	dos models; requereix contrast auditiu	pendent					
392	3	C-dos-models	pa-056	doncs	43.45-48.59	clips/pa-056__doncs__43.45.wav		sí	no	sí	sí	sí	com estaven, doncs evidentment no era el nostre tarannà,  per almenys el meu.	com estaven, doncs evidentment no era el nostre tarantà.  Per almenys el meu.	dos models; requereix contrast auditiu	pendent					
393	3	C-dos-models	pa-056	llavors	157.77-163.11	clips/pa-056__llavors__157.77.wav		sí	no	sí	sí	no	llavors ja va vendre el sindic farlas i companyia i el que sí...	i llavors ja va vendre el Cíndic Farlas i companyia,  i el que sí és...	dos models; requereix contrast auditiu	pendent					
394	3	C-dos-models	pa-057	a nivell	417.13-421.51	clips/pa-057__a-nivell__417.13.wav		sí	no	sí	sí	sí	a 4, segur que els altres volien els 4 a nivell nacional i l'aconseguiria així.	A l'altre es volien els 4 a nivell nacional i la situació és molt bona.	dos models; requereix contrast auditiu	pendent					
395	3	C-dos-models	pa-057	bé	203.57-209.03	clips/pa-057__b__203.57.wav		sí	no	sí	sí	sí	que el sistema està bé, una mica amb l'incapacitat d'una solució.	i que el sistema està bé amb la capacitat d'un solució.	dos models; requereix contrast auditiu	pendent					
396	3	C-dos-models	pa-058	a nivell	188.37-191.87	clips/pa-058__a-nivell__188.37.wav		sí	sí	no	sí	sí	Quan se vol, a nivells de programes polítics,	quan se vol.	dos models; requereix contrast auditiu	pendent					
397	3	C-dos-models	pa-059	evidentment	152.13-162.03	clips/pa-059__evidentment__152.13.wav		sí	no	sí	sí	sí	Evidentment, amb coses diferents perquè penso que el que era la part d'endorra la vella i escaldes era en potser...	i que no hi hem fet. Evidentment, amb coses diferents,  perquè penso que el que era la part d'endorra la vella i escaldes  era en potser...	dos models; requereix contrast auditiu	pendent					
398	3	C-dos-models	pa-060	a nivell	201.93-208.63	clips/pa-060__a-nivell__201.93.wav		sí	no	sí	sí	sí	Hi havia un ambient molt tens, a nivell de consell, per no disfrutar.	Hi havia un ambient molt tens a nivell de consell per no disfrutar.	dos models; requereix contrast auditiu	pendent					
399	3	C-dos-models	pa-060	bé	415.73-419.91	clips/pa-060__b__415.73.wav		no	sí	sí	no	sí	que fan els metros a mesura que anaven creixent.	que fan els metros, a més, que anar bé creixent.	dos models; requereix contrast auditiu	pendent					
400	3	C-dos-models	pa-060	llavors	48.77-56.07	clips/pa-060__llavors__48.77.wav		sí	no	sí	sí	no	84, 82%, i llavors vull dir que no hi ha biministre de l'interior.	"84, 82%, i llavors vull dir,  ""nevi, ministre de l'Interior""."	dos models; requereix contrast auditiu	pendent					
