segment	inici_s	final_s	rol_provisional	confiança	motiu	text_asr	estat
379	1147.280	1152.440	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Molt bé, escolta, i el tema que l'és, es pot dir si cobreu eufòria?	heurística textual; pendent d'audició
380	1152.520	1155.560	indeterminat	baixa	no hi ha senyal textual suficient	"Sí, gràcies al ""triqueil"", de la primera temporada, que va ficar..."	heurística textual; pendent d'audició
381	1155.640	1156.640	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Va obrir la veda, eh?	heurística textual; pendent d'audició
382	1156.720	1158.720	indeterminat	baixa	no hi ha senyal textual suficient	"...incapia, ja, de ""cobrar, amb decobrar"","	heurística textual; pendent d'audició
383	1158.800	1162.040	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè al final estem fent una feina, que dic que és 24 hores del dia,	heurística textual; pendent d'audició
384	1162.120	1164.840	indeterminat	baixa	no hi ha senyal textual suficient	i gràcies a ell, que ara mateix tenim un sou.	heurística textual; pendent d'audició
385	1164.920	1167.920	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	És a dir, vosaltres heu cobrat per setmanes, per gales, per mesos?	heurística textual; pendent d'audició
386	1168.000	1170.000	indeterminat	baixa	no hi ha senyal textual suficient	Es fa per setmana. Per setmana.	heurística textual; pendent d'audició
387	1170.080	1172.080	indeterminat	baixa	no hi ha senyal textual suficient	Sí, perquè no tothom arriba al mateix punt.	heurística textual; pendent d'audició
388	1172.160	1174.160	indeterminat	baixa	no hi ha senyal textual suficient	"Recordem que el ""triqueil"" és un artista"	heurística textual; pendent d'audició
389	1174.240	1176.240	indeterminat	baixa	no hi ha senyal textual suficient	que va ser dels millors, no va guanyar eufòria 1,	heurística textual; pendent d'audició
390	1176.320	1178.320	ian-probable	baixa	primera persona i resposta desenvolupada	però jo crec que va ser dels pioners,	heurística textual; pendent d'audició
391	1178.400	1180.400	indeterminat	baixa	no hi ha senyal textual suficient	i després, quan va passar molts mesos d'eufòria,	heurística textual; pendent d'audició
392	1180.480	1183.360	indeterminat	baixa	no hi ha senyal textual suficient	El renegava una mica del concurs perquè deia que clar,	heurística textual; pendent d'audició
393	1183.440	1186.640	ian-probable	baixa	primera persona i resposta desenvolupada	jo he estat allà sis mesos o cinc, i no he guanyat.	heurística textual; pendent d'audició
394	1186.720	1190.040	ian-probable	baixa	primera persona i resposta desenvolupada	Per tant, no m'he emportat cap premi ni he firmat cap discogràfica,	heurística textual; pendent d'audició
395	1190.120	1191.720	indeterminat	baixa	no hi ha senyal textual suficient	però tampoc m'he emportat cap duró.	heurística textual; pendent d'audició
396	1191.800	1194.720	indeterminat	baixa	no hi ha senyal textual suficient	I estar allà són un producte de la televisió.	heurística textual; pendent d'audició
397	1194.800	1197.720	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	És a dir, el Tric ell va ser el que va posar el primer Mao, eh?	heurística textual; pendent d'audició
398	1197.800	1200.200	indeterminat	baixa	no hi ha senyal textual suficient	Sí, sí, no, és que és gràcies a ell.	heurística textual; pendent d'audició
399	1200.280	1204.400	indeterminat	baixa	no hi ha senyal textual suficient	No tot està perdut, Jan, perquè a fòria molts cops hi ha hagut repesca.	heurística textual; pendent d'audició
400	1204.480	1207.480	indeterminat	baixa	no hi ha senyal textual suficient	Sí, això es parla molt. Això tothom ho diu.	heurística textual; pendent d'audició
401	1207.560	1211.360	indeterminat	baixa	no hi ha senyal textual suficient	Ja, si hi ha una repesca, estiguis atent, estiguis atent que pot passar.	heurística textual; pendent d'audició
402	1211.440	1212.560	indeterminat	baixa	no hi ha senyal textual suficient	Fora pot passar de tot.	heurística textual; pendent d'audició
403	1212.640	1215.600	ian-probable	baixa	primera persona i resposta desenvolupada	Jo tampoc ho descarto dins del meu vent any de possibilitats.	heurística textual; pendent d'audició
404	1215.680	1218.280	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Perquè vosaltres, per exemple, ara, els que heu marxat,	heurística textual; pendent d'audició
405	1218.360	1221.160	ian-probable	baixa	primera persona i resposta desenvolupada	que crec que són 4 o 5 i ha eliminat, dels 16...	heurística textual; pendent d'audició
406	1221.240	1224.280	indeterminat	baixa	no hi ha senyal textual suficient	Si ara ja som 6, diria que ja hem marxat...	heurística textual; pendent d'audició
407	1224.360	1227.800	indeterminat	baixa	no hi ha senyal textual suficient	-Vale, doncs 6. -D'acord, parllaven els trets.	heurística textual; pendent d'audició
408	1227.880	1230.960	indeterminat	baixa	no hi ha senyal textual suficient	"Us deixen marxar fora, de dir ""no, tu no pots marxar, àmster de mare""."	heurística textual; pendent d'audició
409	1231.040	1233.440	indeterminat	baixa	no hi ha senyal textual suficient	Per exemple, tu tens un contracte,	heurística textual; pendent d'audició
410	1233.520	1236.680	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	com que t'has de quedar una mica pel territori, en cas de repesca?	heurística textual; pendent d'audició
411	1236.760	1242.760	ian-probable	baixa	segment llarg compatible amb resposta	Clar, o sigui, el contracte és que durant la durada del programa de estat tindré disponibilitat per fer-lo.	heurística textual; pendent d'audició
412	1242.760	1248.760	ian-probable	baixa	primera persona i resposta desenvolupada	Llavors, evidentment, si que no pots anar a Amsterdam, jo diria si no hi ha res que en el que necessitin.	heurística textual; pendent d'audició
413	1248.760	1253.760	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Clar. 31 de maig al Palau Sant Jordi, a Barcelona. Què me'n dius d'això?	heurística textual; pendent d'audició
414	1253.760	1257.760	ian-probable	baixa	primera persona i resposta desenvolupada	Doncs ho deia abans, que és el somni que he tingut des de petit, petit, petit.	heurística textual; pendent d'audició
415	1257.760	1260.760	ian-probable	baixa	primera persona i resposta desenvolupada	O sigui, he vist els meus grans referents musicals, he vist allà...	heurística textual; pendent d'audició
416	1260.760	1264.760	ian-probable	baixa	primera persona i resposta desenvolupada	O sigui, la meva gran referent musical és la Dua Lipa, i jo l'he vist al Palau Sant Jordi.	heurística textual; pendent d'audició
417	1264.760	1267.120	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	El lloc on actuaràs tu, eh?	heurística textual; pendent d'audició
418	1267.200	1269.640	ian-probable	baixa	primera persona i resposta desenvolupada	A mi em sembla tan boig que t'apitja el mateix escenari.	heurística textual; pendent d'audició
419	1269.720	1271.720	indeterminat	baixa	no hi ha senyal textual suficient	Cuna li digues que a la Rosalía	heurística textual; pendent d'audició
420	1271.800	1274.040	indeterminat	baixa	no hi ha senyal textual suficient	la setmana de la final d'Euphoria actuarà ja.	heurística textual; pendent d'audició
421	1274.120	1276.400	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	O sigui, em sembla tan boig. És molt boig, eh?	heurística textual; pendent d'audició
422	1276.480	1277.480	indeterminat	baixa	no hi ha senyal textual suficient	Sí, sí, sí.	heurística textual; pendent d'audició
423	1277.560	1281.720	indeterminat	baixa	no hi ha senyal textual suficient	Jan, per acabar, compta que portaràs d'aquí poc temps	heurística textual; pendent d'audició
424	1281.800	1284.280	indeterminat	baixa	no hi ha senyal textual suficient	fent una pila d'entrevistes que t'encancaràs,	heurística textual; pendent d'audició
425	1284.360	1287.600	ian-probable	baixa	primera persona i resposta desenvolupada	jo et proposo girar a aquesta última part de l'entrevista	heurística textual; pendent d'audició
426	1287.680	1289.880	indeterminat	baixa	no hi ha senyal textual suficient	i deixar de parlar de feina, de cançons, de discos.	heurística textual; pendent d'audició
427	1289.960	1290.960	indeterminat	baixa	no hi ha senyal textual suficient	Ara queda prohibit.	heurística textual; pendent d'audició
428	1291.040	1295.200	indeterminat	baixa	no hi ha senyal textual suficient	És un test que els vam fer igual als amics de les arts,	heurística textual; pendent d'audició
429	1295.280	1298.480	indeterminat	baixa	no hi ha senyal textual suficient	i ara només s'hi valen algunes preguntes alternatives a la feina,	heurística textual; pendent d'audició
430	1298.560	1300.080	indeterminat	baixa	no hi ha senyal textual suficient	que seran molt ràpides.	heurística textual; pendent d'audició
431	1300.160	1302.360	indeterminat	baixa	no hi ha senyal textual suficient	"Això es titula ""Els dilemes grans""."	heurística textual; pendent d'audició
432	1312.800	1315.640	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Iatmòia, quina mania tens que no expliques mai?	heurística textual; pendent d'audició
433	1317.320	1319.040	indeterminat	baixa	no hi ha senyal textual suficient	Que la gent cridi.	heurística textual; pendent d'audició
434	1319.120	1320.720	indeterminat	baixa	no hi ha senyal textual suficient	Normalment ho dic molt, ho controla molt,	heurística textual; pendent d'audició
435	1320.800	1322.360	indeterminat	baixa	no hi ha senyal textual suficient	és la gran mània que tinc.	heurística textual; pendent d'audició
436	1322.440	1325.680	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Si avui vinc a Escaldes, a quin restaurant em portaries a sopar?	heurística textual; pendent d'audició
437	1326.560	1327.800	indeterminat	baixa	no hi ha senyal textual suficient	El Fideus.	heurística textual; pendent d'audició
438	1327.880	1329.120	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Què, si menja allà?	heurística textual; pendent d'audició
439	1329.200	1330.800	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Fideus esiatics, no?	heurística textual; pendent d'audició
440	1330.880	1334.520	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	T'imagines? No es menja cap hipota de sop dels Fideus.	heurística textual; pendent d'audició
441	1334.600	1336.280	indeterminat	baixa	no hi ha senyal textual suficient	Risotto. Un risotto.	heurística textual; pendent d'audició
442	1336.360	1339.120	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Quantes fotos i quants vídeos tens al telèfon mòbil?	heurística textual; pendent d'audició
443	1339.760	1343.120	indeterminat	baixa	no hi ha senyal textual suficient	Fotos, diria que un és 15.000 i un és 3.000, una cosa així.	heurística textual; pendent d'audició
444	1343.200	1345.200	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	I quant d'espai lliure et queda?	heurística textual; pendent d'audició
445	1345.280	1347.280	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	De moment, la meitat. La meitat molt bé, eh?	heurística textual; pendent d'audició
446	1347.360	1349.360	indeterminat	baixa	no hi ha senyal textual suficient	Però quan digues teu mòbil, molts.	heurística textual; pendent d'audició
447	1349.440	1351.080	ian-probable	baixa	primera persona i resposta desenvolupada	No, se m'he dit quatre una cosa així. Ah, molt bé.	heurística textual; pendent d'audició
448	1351.160	1353.000	indeterminat	baixa	no hi ha senyal textual suficient	No ho sé, realment, però algo així a nit hem.	heurística textual; pendent d'audició
449	1353.080	1357.200	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Ets d'aquells que reescolta les notes de veu canvia, el WhatsApp?	heurística textual; pendent d'audició
450	1357.960	1359.160	indeterminat	baixa	no hi ha senyal textual suficient	No, em fa molta vergonya.	heurística textual; pendent d'audició
451	1359.800	1362.280	indeterminat	baixa	no hi ha senyal textual suficient	N'has d'esborrar una de les dues que et dic ara	heurística textual; pendent d'audició
452	1362.360	1365.360	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	i quedar-te només amb l'altra. Tic-toc o chat GPT?	heurística textual; pendent d'audició
453	1367.160	1369.120	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Tic-toc les borra. Les borres, eh?	heurística textual; pendent d'audició
454	1369.200	1371.040	indeterminat	baixa	no hi ha senyal textual suficient	Això vol dir que fa servir molt chat GPT.	heurística textual; pendent d'audició
455	1371.320	1374.000	ian-probable	baixa	primera persona i resposta desenvolupada	Sí, és el meu assistent personatge. Molt bé.	heurística textual; pendent d'audició
456	1374.800	1376.880	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Com t'imagines els 50 anys?	heurística textual; pendent d'audició
457	1379.280	1382.520	ian-probable	baixa	primera persona i resposta desenvolupada	Uau. A la meva casa, a l'Ago di Como.	heurística textual; pendent d'audició
458	1383.120	1385.040	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Vols veure l'Ago di Como? Per què no?	heurística textual; pendent d'audició
459	1385.880	1389.320	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Última de totes, porra. Qui creus que guanyarà Eufòria 4?	heurística textual; pendent d'audició
460	1390.480	1392.640	indeterminat	baixa	no hi ha senyal textual suficient	Sempre dic l'Aina Machuca.	heurística textual; pendent d'audició
461	1393.400	1394.920	indeterminat	baixa	no hi ha senyal textual suficient	Sí, l'Aina Machuca guanyarà Eufòria.	heurística textual; pendent d'audició
462	1395.000	1397.800	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Però ara anaves a... Has fet una paral·lela de pro?	heurística textual; pendent d'audició
463	1398.720	1400.920	ian-probable	baixa	primera persona i resposta desenvolupada	També em vindien molt de gust que guanyés la Tura.	heurística textual; pendent d'audició
464	1401.720	1404.240	indeterminat	baixa	no hi ha senyal textual suficient	Que també té un perfil que pot enamorar molt el públic.	heurística textual; pendent d'audició
465	1404.320	1406.960	indeterminat	baixa	no hi ha senyal textual suficient	Si guanya l'Aina, tornarem a trucar, com a pitonissa.	heurística textual; pendent d'audició
466	1407.440	1409.880	indeterminat	baixa	no hi ha senyal textual suficient	No, sí, sí. Amb l'Aina hi haurà coses que vull fer amb ella.	heurística textual; pendent d'audició
467	1409.960	1411.760	indeterminat	baixa	no hi ha senyal textual suficient	Molt bé, amb això ens quedem.	heurística textual; pendent d'audició
468	1411.840	1415.200	indeterminat	baixa	no hi ha senyal textual suficient	I en Moïa, moltes gràcies per aconseguir-nos aquesta entrevista.	heurística textual; pendent d'audició
469	1415.280	1418.920	indeterminat	baixa	no hi ha senyal textual suficient	Ha sigut un plaer, molta sort, però sobretot molts encers.	heurística textual; pendent d'audició
470	1419.000	1420.320	indeterminat	baixa	no hi ha senyal textual suficient	El plaer és meu, gràcies.	heurística textual; pendent d'audició
471	1420.400	1422.680	indeterminat	baixa	no hi ha senyal textual suficient	Nosaltres anem a Policitat i ara continuem.	heurística textual; pendent d'audició
